transaction_id,date,amount,category,merchant,payment_method,account_type,transaction_type,description
T-713,2024-11-01 14:40:08.881401,71.67,Groceries,Walmart,Cash,Savings,Payment,Outside purpose reveal say shake.
T-813,2024-11-03 14:40:08.881401,137.58,Shopping,Amazon,Credit Card,Investment,Withdrawal,Better address type meet seek.
T-908,2024-11-03 14:40:08.881401,162.52,Utilities,Water Works,Credit Card,Investment,Deposit,Medical compare possible community.
T-790,2024-11-04 14:40:08.881401,143.31,Utilities,Water Works,Bank Transfer,Investment,Deposit,Bill ok wide.
T-125,2024-11-05 14:40:08.881401,210.77,Shopping,Mall Store,Cash,Savings,Payment,Western support able life manager.
T-1018,2024-11-05 14:40:08.881401,102.23,Healthcare,Pharmacy,Bank Transfer,Investment,Transfer,Try collection people activity.
T-138,2024-11-06 14:40:08.881401,27.95,Subscriptions,Gym Membership,Bank Transfer,Savings,Withdrawal,Reality public current style cut.
T-995,2024-11-06 14:40:08.881401,48.53,Groceries,Whole Foods,Credit Card,Checking,Deposit,Blue smile respond responsibility.
T-68,2024-11-06 14:40:08.881401,237.6,Shopping,Best Buy,Mobile Payment,Checking,Withdrawal,Region building human fear art feeling sit.
T-440,2024-11-06 14:40:08.881401,154.88,Utilities,Gas Utility,Mobile Payment,Checking,Withdrawal,Listen image number somebody reduce.
T-585,2024-11-06 14:40:08.881401,74.72,Groceries,Costco,Bank Transfer,Checking,Transfer,Poor important serve daughter other long chair phone.
T-16,2024-11-06 14:40:08.881401,167.94,Shopping,Best Buy,Mobile Payment,Savings,Payment,Attack woman pressure.
T-352,2024-11-07 14:40:08.881401,30.58,Entertainment,Netflix,Debit Card,Savings,Deposit,Staff after protect much talk age population create.
T-346,2024-11-07 14:40:08.881401,121.36,Shopping,Mall Store,Bank Transfer,Checking,Withdrawal,Value country company short together area happen strategy.
T-222,2024-11-07 14:40:08.881401,90.43,Healthcare,Dental Care,Bank Transfer,Savings,Transfer,Break among build whom soldier follow teacher.
T-471,2024-11-08 14:40:08.881401,173.28,Utilities,Water Works,Debit Card,Checking,Withdrawal,Mr hundred between still life.
T-698,2024-11-08 14:40:08.881401,92.99,Utilities,Water Works,Credit Card,Savings,Payment,Usually I board each.
T-884,2024-11-08 14:40:08.881401,177.57,Shopping,Amazon,Mobile Payment,Checking,Withdrawal,Boy particular nor right check true.
T-982,2024-11-09 14:40:08.881401,106.28,Travel,Hilton,Debit Card,Investment,Deposit,Score environmental rate space machine even.
T-1104,2024-11-09 14:40:08.881401,53.03,Groceries,Walmart,Mobile Payment,Investment,Deposit,Size bad born feeling leave fear.
T-287,2024-11-09 14:40:08.881401,62.84,Shopping,Best Buy,Credit Card,Savings,Withdrawal,Performance year good role do number.
T-1128,2024-11-09 14:40:08.881401,2055.13,Shopping,Mall Store,Mobile Payment,Checking,Withdrawal,Husband upon suddenly myself Democrat act still.
T-970,2024-11-10 14:40:08.881401,23.57,Entertainment,Spotify,Cash,Investment,Transfer,Cell subject church song condition long adult.
T-1116,2024-11-10 14:40:08.881401,176.83,Utilities,Gas Utility,Cash,Investment,Payment,Particularly while artist job by.
T-686,2024-11-11 14:40:08.881401,162.88,Healthcare,Dental Care,Debit Card,Savings,Payment,From present hundred suffer become involve.
T-108,2024-11-11 14:40:08.881401,270.02,Travel,Airbnb,Credit Card,Investment,Payment,Image himself onto would all threat home although.
T-529,2024-11-11 14:40:08.881401,17.01,Entertainment,Netflix,Bank Transfer,Savings,Withdrawal,Strong smile customer crime less television.
T-961,2024-11-12 14:40:08.881401,122.25,Travel,Airbnb,Debit Card,Savings,Deposit,Government south meet.
T-920,2024-11-12 14:40:08.881401,5.0,Subscriptions,Amazon Prime,Credit Card,Checking,Transfer,Kind goal read purpose agree vote.
T-475,2024-11-12 14:40:08.881401,5.0,Groceries,Trader Joe's,Bank Transfer,Checking,Deposit,Radio central glass.
T-723,2024-11-12 14:40:08.881401,54.64,Groceries,Trader Joe's,Debit Card,Savings,Transfer,Enter mention state choose coach writer business.
T-1143,2024-11-13 14:40:08.881401,1554.86,Rent/Mortgage,Mortgage Bank,Cash,Savings,Deposit,Republican stand mouth.
T-494,2024-11-13 14:40:08.881401,81.34,Shopping,Amazon,Cash,Checking,Transfer,Less professional brother because summer war.
T-681,2024-11-13 14:40:08.881401,110.49,Utilities,Water Works,Cash,Checking,Withdrawal,Amount worry take view between nothing budget land.
T-78,2024-11-13 14:40:08.881401,64.26,Utilities,Gas Utility,Debit Card,Investment,Withdrawal,Paper artist sister people certainly.
T-635,2024-11-14 14:40:08.881401,2340.33,Other,Miscellaneous,Cash,Investment,Payment,Around moment good brother.
T-738,2024-11-14 14:40:08.881401,1215.4,Rent/Mortgage,Landlord,Debit Card,Investment,Deposit,Together nice any up above child degree.
T-381,2024-11-14 14:40:08.881401,229.79,Shopping,Target,Debit Card,Investment,Transfer,Year hundred space plant.
T-239,2024-11-15 14:40:08.881401,112.07,Shopping,Target,Credit Card,Investment,Withdrawal,Find short she player part remember special case.
T-1064,2024-11-15 14:40:08.881401,105.52,Shopping,Amazon,Bank Transfer,Investment,Withdrawal,President water road will gas experience.
T-864,2024-11-15 14:40:08.881401,11.17,Subscriptions,Amazon Prime,Cash,Checking,Transfer,Kind avoid style.
T-680,2024-11-15 14:40:08.881401,151.23,Healthcare,Dental Care,Mobile Payment,Savings,Payment,Door born director traditional measure official.
T-1101,2024-11-16 14:40:08.881401,115.86,Shopping,Amazon,Credit Card,Savings,Withdrawal,Loss wonder particularly answer least final concern.
T-1036,2024-11-16 14:40:08.881401,106.41,Groceries,Whole Foods,Mobile Payment,Checking,Payment,Prepare also fall painting.
T-667,2024-11-16 14:40:08.881401,24.63,Entertainment,AMC Theatres,Debit Card,Investment,Deposit,Where pull Republican section though about never.
T-540,2024-11-16 14:40:08.881401,124.46,Healthcare,Dental Care,Debit Card,Investment,Deposit,Old program dream color.
T-553,2024-11-16 14:40:08.881401,73.32,Groceries,Trader Joe's,Debit Card,Investment,Withdrawal,Rather camera practice over.
T-626,2024-11-17 14:40:08.881401,33.9,Dining,Starbucks,Cash,Savings,Withdrawal,Focus condition section discover hour.
T-519,2024-11-17 14:40:08.881401,23.28,Subscriptions,Gym Membership,Debit Card,Investment,Withdrawal,Through natural public conference save former animal.
T-163,2024-11-19 14:40:08.881401,145.87,Shopping,Target,Bank Transfer,Investment,Transfer,Member between risk growth others management hear.
T-704,2024-11-19 14:40:08.881401,33.1,Entertainment,Netflix,Bank Transfer,Investment,Deposit,Sign society much.
T-693,2024-11-19 14:40:08.881401,26.75,Subscriptions,Gym Membership,Cash,Investment,Payment,Trouble pattern which music.
T-1058,2024-11-20 14:40:08.881401,17.98,Dining,McDonald's,Debit Card,Savings,Payment,Instead letter two view single.
T-873,2024-11-20 14:40:08.881401,142.02,Shopping,Best Buy,Mobile Payment,Checking,Deposit,Also point travel easy daughter.
T-900,2024-11-20 14:40:08.881401,1488.97,Rent/Mortgage,Mortgage Bank,Bank Transfer,Checking,Deposit,Evening heavy position dinner behind despite.
T-882,2024-11-20 14:40:08.881401,106.25,Travel,Airbnb,Bank Transfer,Investment,Transfer,Available allow front degree.
T-769,2024-11-21 14:40:08.881401,118.25,Shopping,Target,Debit Card,Checking,Deposit,Establish reality six service.
T-58,2024-11-21 14:40:08.881401,27.98,Dining,McDonald's,Cash,Investment,Payment,Air international newspaper meet window term.
T-200,2024-11-21 14:40:08.881401,9.42,Subscriptions,Amazon Prime,Debit Card,Investment,Deposit,Member wish laugh inside establish drug.
T-487,2024-11-21 14:40:08.881401,235.46,Shopping,Target,Cash,Savings,Deposit,Compare hair should tell present party under.
T-42,2024-11-21 14:40:08.881401,162.49,Travel,Delta,Credit Card,Investment,Payment,Two join do send say dinner.
T-136,2024-11-21 14:40:08.881401,19.45,Entertainment,AMC Theatres,Debit Card,Investment,Deposit,Away job over kind most huge summer.
T-840,2024-11-21 14:40:08.881401,142.59,Groceries,Trader Joe's,Cash,Savings,Payment,Nearly along to remember fear.
T-1095,2024-11-21 14:40:08.881401,16.13,Subscriptions,Gym Membership,Cash,Checking,Withdrawal,Again probably support city themselves friend.
T-557,2024-11-22 14:40:08.881401,17.12,Entertainment,Netflix,Cash,Savings,Transfer,Community enough sea better position can single.
T-470,2024-11-22 14:40:08.881401,105.82,Groceries,Costco,Mobile Payment,Investment,Transfer,Suddenly tax certain trial four hear.
T-441,2024-11-22 14:40:08.881401,119.43,Shopping,Target,Bank Transfer,Savings,Transfer,Ago central individual though factor save its.
T-280,2024-11-22 14:40:08.881401,44.64,Dining,Starbucks,Bank Transfer,Checking,Deposit,Cup fear teacher kind style family.
T-1150,2024-11-22 14:40:08.881401,80.72,Shopping,Target,Credit Card,Investment,Payment,Enjoy risk seven full three the economic.
T-607,2024-11-22 14:40:08.881401,85.83,Healthcare,Dental Care,Bank Transfer,Savings,Withdrawal,Chair traditional worry doctor.
T-1040,2024-11-22 14:40:08.881401,27.1,Dining,Starbucks,Debit Card,Savings,Deposit,Wonder state hot religious newspaper.
T-815,2024-11-22 14:40:08.881401,42.25,Dining,Starbucks,Cash,Savings,Withdrawal,Thing store child to.
T-10,2024-11-22 14:40:08.881401,97.92,Shopping,Best Buy,Credit Card,Savings,Payment,Pretty food make less expect would skill.
T-1052,2024-11-22 14:40:08.881401,11.14,Entertainment,AMC Theatres,Bank Transfer,Investment,Withdrawal,Another trade six actually challenge her.
T-302,2024-11-24 14:40:08.881401,1822.78,Rent/Mortgage,Mortgage Bank,Mobile Payment,Checking,Withdrawal,Require at write arrive forget food.
T-596,2024-11-24 14:40:08.881401,17.12,Healthcare,Clinic,Debit Card,Savings,Withdrawal,Why type large idea.
R-4,2024-11-25 14:40:08.881401,1198.53,Rent/Mortgage,Landlord,Bank Transfer,Checking,Payment,Monthly rent/mortgage payment
T-379,2024-11-25 14:40:08.881401,3871.32,Other,Miscellaneous,Mobile Payment,Checking,Withdrawal,Series east instead.
T-198,2024-11-25 14:40:08.881401,16.98,Entertainment,AMC Theatres,Credit Card,Savings,Deposit,Situation story fill protect.
T-720,2024-11-25 14:40:08.881401,16.53,Entertainment,Concert Hall,Mobile Payment,Investment,Withdrawal,Establish responsibility individual present expect customer fear.
T-1113,2024-11-25 14:40:08.881401,1987.72,Travel,Uber,Credit Card,Savings,Transfer,Nor respond bit Republican.
T-1045,2024-11-25 14:40:08.881401,133.61,Shopping,Target,Credit Card,Savings,Payment,Wife either experience I prevent.
T-1038,2024-11-25 14:40:08.881401,76.59,Shopping,Mall Store,Credit Card,Checking,Payment,Parent design carry threat.
T-145,2024-11-25 14:40:08.881401,93.68,Travel,Hilton,Mobile Payment,Investment,Deposit,Adult week way score decision toward any.
T-213,2024-11-26 14:40:08.881401,5.0,Groceries,Walmart,Mobile Payment,Savings,Transfer,Best particularly still skin eat now.
S-Amazon Prime-4,2024-11-26 14:40:08.881401,13.87,Subscriptions,Amazon Prime,Debit Card,Checking,Payment,Monthly subscription: Amazon Prime
T-925,2024-11-27 14:40:08.881401,8.45,Subscriptions,Apple Music,Credit Card,Checking,Payment,Today market address church expert record culture.
T-435,2024-11-28 14:40:08.881401,74.4,Shopping,Mall Store,Cash,Investment,Deposit,Manager crime exist organization.
T-969,2024-11-28 14:40:08.881401,18.46,Subscriptions,Gym Membership,Credit Card,Savings,Deposit,Manager culture election explain.
T-1008,2024-11-28 14:40:08.881401,120.79,Groceries,Costco,Cash,Savings,Transfer,Including about fish country.
T-245,2024-11-28 14:40:08.881401,196.43,Utilities,Electric Co,Mobile Payment,Investment,Withdrawal,Yes hold small energy value song century direction.
T-467,2024-11-28 14:40:08.881401,1577.11,Rent/Mortgage,Landlord,Debit Card,Checking,Payment,Agree opportunity certain suggest.
T-409,2024-11-28 14:40:08.881401,113.18,Shopping,Mall Store,Credit Card,Investment,Deposit,Family only reflect during short.
S-Netflix-4,2024-11-29 14:40:08.881401,17.27,Subscriptions,Netflix,Debit Card,Checking,Payment,Monthly subscription: Netflix
T-146,2024-11-29 14:40:08.881401,32.1,Dining,McDonald's,Credit Card,Checking,Withdrawal,As option human situation cut.
T-438,2024-11-29 14:40:08.881401,29.12,Entertainment,Netflix,Cash,Investment,Transfer,Actually actually space activity teacher heart blood.
T-816,2024-11-29 14:40:08.881401,58.17,Dining,Chipotle,Mobile Payment,Savings,Withdrawal,Hair all economic others peace possible people.
S-Gym Membership-4,2024-11-30 14:40:08.881401,10.63,Subscriptions,Gym Membership,Cash,Checking,Payment,Monthly subscription: Gym Membership
T-378,2024-11-30 14:40:08.881401,173.97,Shopping,Target,Credit Card,Savings,Payment,Ask story most answer.
T-528,2024-11-30 14:40:08.881401,846.91,Rent/Mortgage,Mortgage Bank,Mobile Payment,Savings,Transfer,Then traditional add.
T-74,2024-12-01 14:40:08.881401,37.19,Dining,Starbucks,Bank Transfer,Investment,Transfer,Impact factor my add religious.
T-1092,2024-12-01 14:40:08.881401,201.48,Shopping,Target,Cash,Savings,Payment,Community administration successful.
T-707,2024-12-01 14:40:08.881401,54.16,Healthcare,Dental Care,Debit Card,Savings,Payment,Would whatever language deep agent ever strategy.
T-405,2024-12-02 14:40:08.881401,132.97,Groceries,Whole Foods,Credit Card,Savings,Withdrawal,Soon discuss prevent ground eat important interesting.
T-592,2024-12-02 14:40:08.881401,72.09,Healthcare,Clinic,Debit Card,Checking,Withdrawal,Relationship I sell modern.
T-356,2024-12-02 14:40:08.881401,5.0,Shopping,Mall Store,Debit Card,Savings,Payment,Public serve right imagine skin east recognize design.
T-954,2024-12-02 14:40:08.881401,22.02,Subscriptions,Apple Music,Credit Card,Checking,Deposit,Sport really bed hundred culture live thing.
T-314,2024-12-03 14:40:08.881401,74.67,Shopping,Target,Credit Card,Checking,Payment,Individual affect painting wind.
T-453,2024-12-03 14:40:08.881401,7.36,Subscriptions,Apple Music,Credit Card,Savings,Payment,We appear small dream age kind success.
T-269,2024-12-03 14:40:08.881401,1031.78,Rent/Mortgage,Landlord,Cash,Investment,Withdrawal,Range central type beautiful drop.
T-546,2024-12-03 14:40:08.881401,103.88,Utilities,Electric Co,Credit Card,Investment,Deposit,Glass owner yet event feel return TV.
T-334,2024-12-04 14:40:08.881401,222.03,Groceries,Costco,Credit Card,Savings,Payment,Consumer practice pay throughout stuff issue year.
T-307,2024-12-04 14:40:08.881401,5.73,Entertainment,Netflix,Bank Transfer,Savings,Payment,How firm project enough system.
T-458,2024-12-04 14:40:08.881401,5.0,Shopping,Mall Store,Debit Card,Investment,Deposit,Art wide third investment south physical.
T-164,2024-12-04 14:40:08.881401,25.95,Dining,Starbucks,Mobile Payment,Investment,Deposit,Respond rock hotel teacher.
T-907,2024-12-04 14:40:08.881401,3843.74,Other,Miscellaneous,Cash,Checking,Payment,Talk station technology section movie actually.
T-911,2024-12-05 14:40:08.881401,8.54,Subscriptions,Amazon Prime,Debit Card,Savings,Transfer,Whom network for read research appear.
T-849,2024-12-05 14:40:08.881401,188.8,Shopping,Target,Cash,Investment,Transfer,Site cultural tonight class section executive throw laugh.
T-898,2024-12-05 14:40:08.881401,147.76,Shopping,Mall Store,Mobile Payment,Savings,Deposit,Chance hard social participant manage.
T-983,2024-12-05 14:40:08.881401,65.57,Healthcare,Pharmacy,Debit Card,Savings,Transfer,Build present staff.
T-871,2024-12-06 14:40:08.881401,1244.52,Travel,Airbnb,Mobile Payment,Investment,Payment,Price civil buy share Republican.
T-296,2024-12-07 14:40:08.881401,77.1,Shopping,Mall Store,Debit Card,Savings,Payment,Lot growth democratic hospital.
T-1069,2024-12-07 14:40:08.881401,29.69,Dining,McDonald's,Cash,Investment,Transfer,Despite state tough public.
T-1125,2024-12-08 14:40:08.881401,18.81,Dining,Starbucks,Cash,Savings,Deposit,Attention sell share suffer.
T-921,2024-12-08 14:40:08.881401,152.9,Shopping,Target,Cash,Savings,Deposit,Student carry sell best street wrong leg.
T-1110,2024-12-08 14:40:08.881401,47.31,Groceries,Walmart,Credit Card,Savings,Deposit,Law plant avoid stay type ground bit.
T-582,2024-12-09 14:40:08.881401,5.0,Dining,Starbucks,Bank Transfer,Investment,Transfer,Dream list gas discuss.
T-387,2024-12-10 14:40:08.881401,44.54,Shopping,Best Buy,Cash,Investment,Deposit,Throw experience century.
T-718,2024-12-10 14:40:08.881401,1582.68,Travel,Hilton,Bank Transfer,Savings,Payment,Cut simple he cultural Mr spend.
T-142,2024-12-10 14:40:08.881401,8.03,Subscriptions,Apple Music,Debit Card,Savings,Transfer,Health interview when single every around.
T-512,2024-12-10 14:40:08.881401,124.47,Utilities,Electric Co,Bank Transfer,Savings,Payment,Cup that audience could it campaign.
T-625,2024-12-10 14:40:08.881401,199.26,Shopping,Best Buy,Cash,Checking,Transfer,Somebody run writer woman option.
T-452,2024-12-10 14:40:08.881401,1208.65,Travel,Uber,Debit Card,Investment,Withdrawal,Item painting evening buy act.
T-913,2024-12-10 14:40:08.881401,104.11,Healthcare,Dental Care,Mobile Payment,Investment,Payment,Customer attention long local activity cut.
T-47,2024-12-10 14:40:08.881401,127.16,Shopping,Target,Bank Transfer,Investment,Transfer,Partner add dog personal small just maintain.
T-268,2024-12-11 14:40:08.881401,203.81,Healthcare,Dental Care,Mobile Payment,Investment,Transfer,Will top I local leader leader.
T-866,2024-12-11 14:40:08.881401,24.8,Dining,McDonald's,Credit Card,Investment,Transfer,Beautiful nothing newspaper particularly.
T-858,2024-12-11 14:40:08.881401,36.92,Dining,Local Cafe,Debit Card,Checking,Deposit,Fire south sign officer material.
T-1070,2024-12-12 14:40:08.881401,1739.79,Rent/Mortgage,Mortgage Bank,Credit Card,Investment,Withdrawal,Such live our speech recognize benefit hotel.
T-4,2024-12-12 14:40:08.881401,50.21,Dining,Local Cafe,Bank Transfer,Savings,Withdrawal,Growth modern age part.
T-1002,2024-12-12 14:40:08.881401,5.0,Dining,Local Cafe,Cash,Checking,Withdrawal,They him which major choose bit move art.
T-75,2024-12-13 14:40:08.881401,5.0,Entertainment,Spotify,Cash,Investment,Payment,Item theory decision she central.
T-15,2024-12-13 14:40:08.881401,5.0,Entertainment,Netflix,Mobile Payment,Savings,Deposit,Somebody through who drop Republican start.
T-614,2024-12-13 14:40:08.881401,119.66,Travel,Delta,Debit Card,Checking,Transfer,Range use poor land responsibility personal.
T-563,2024-12-13 14:40:08.881401,1488.72,Rent/Mortgage,Landlord,Cash,Investment,Transfer,Operation others want day somebody together.
T-558,2024-12-13 14:40:08.881401,15.86,Entertainment,Concert Hall,Debit Card,Savings,Payment,Use enjoy east movement.
T-338,2024-12-14 14:40:08.881401,154.71,Shopping,Amazon,Debit Card,Savings,Payment,Throughout fill prepare water.
T-576,2024-12-14 14:40:08.881401,34.68,Healthcare,Dental Care,Credit Card,Checking,Transfer,Better attorney policy check deep resource role spend.
T-342,2024-12-14 14:40:08.881401,1814.23,Rent/Mortgage,Landlord,Credit Card,Investment,Deposit,Not increase truth morning.
T-1022,2024-12-14 14:40:08.881401,105.14,Groceries,Whole Foods,Credit Card,Investment,Withdrawal,Unit include around service green sometimes call candidate.
T-633,2024-12-14 14:40:08.881401,153.44,Shopping,Mall Store,Cash,Investment,Withdrawal,Seven senior although off while anything.
T-962,2024-12-14 14:40:08.881401,167.16,Healthcare,Clinic,Bank Transfer,Investment,Withdrawal,Certainly play if technology effort magazine.
T-322,2024-12-15 14:40:08.881401,30.66,Dining,Starbucks,Bank Transfer,Checking,Withdrawal,Low TV pick military present our.
T-327,2024-12-15 14:40:08.881401,76.41,Utilities,Electric Co,Debit Card,Investment,Withdrawal,Anything contain light sense.
T-629,2024-12-16 14:40:08.881401,199.77,Travel,Hilton,Bank Transfer,Savings,Payment,Bit rest create like.
T-40,2024-12-16 14:40:08.881401,5.0,Subscriptions,Amazon Prime,Debit Card,Checking,Payment,Fight war nearly heart.
T-909,2024-12-16 14:40:08.881401,1153.96,Shopping,Target,Debit Card,Checking,Transfer,Rule eye different note other several analysis not.
T-347,2024-12-16 14:40:08.881401,48.05,Utilities,Water Works,Debit Card,Savings,Withdrawal,Thousand own employee which brother.
T-679,2024-12-17 14:40:08.881401,24.04,Entertainment,Concert Hall,Credit Card,Checking,Withdrawal,Computer walk forward.
T-56,2024-12-17 14:40:08.881401,5.0,Shopping,Mall Store,Mobile Payment,Investment,Deposit,Environmental house special particular husband minute.
T-5,2024-12-17 14:40:08.881401,5.0,Entertainment,Netflix,Cash,Investment,Payment,Firm change account total move nation official present.
T-973,2024-12-17 14:40:08.881401,1761.84,Rent/Mortgage,Mortgage Bank,Bank Transfer,Checking,Payment,Teach six condition firm idea serve.
T-404,2024-12-17 14:40:08.881401,37.16,Utilities,Electric Co,Credit Card,Investment,Withdrawal,All range sea wish quite civil himself spend.
T-354,2024-12-17 14:40:08.881401,169.71,Healthcare,Clinic,Credit Card,Investment,Withdrawal,Near country near trade turn main deep center.
T-562,2024-12-18 14:40:08.881401,10.64,Entertainment,Netflix,Cash,Savings,Withdrawal,Woman head talk wind.
T-793,2024-12-18 14:40:08.881401,75.45,Travel,Hilton,Credit Card,Savings,Payment,Like black career message light cause.
T-175,2024-12-19 14:40:08.881401,168.93,Healthcare,Pharmacy,Debit Card,Investment,Deposit,Character simply huge away support see community.
T-182,2024-12-19 14:40:08.881401,12.78,Subscriptions,Amazon Prime,Debit Card,Checking,Withdrawal,Technology green but such near.
T-416,2024-12-19 14:40:08.881401,116.04,Shopping,Mall Store,Bank Transfer,Checking,Payment,Cut scene party will career run by.
T-825,2024-12-19 14:40:08.881401,26.76,Dining,Chipotle,Mobile Payment,Investment,Payment,Magazine federal off director.
T-993,2024-12-19 14:40:08.881401,37.79,Dining,Starbucks,Cash,Checking,Payment,Next however consider but fear response.
T-1148,2024-12-19 14:40:08.881401,117.41,Travel,Delta,Debit Card,Investment,Payment,Computer skin man laugh out benefit nature.
T-1000,2024-12-20 14:40:08.881401,986.87,Travel,Airbnb,Mobile Payment,Checking,Payment,Recognize understand his bring.
T-669,2024-12-21 14:40:08.881401,137.71,Healthcare,Pharmacy,Bank Transfer,Investment,Deposit,Protect effort light world sea.
T-82,2024-12-21 14:40:08.881401,18.03,Entertainment,Netflix,Mobile Payment,Checking,Transfer,Support conference choose.
T-1042,2024-12-21 14:40:08.881401,54.57,Travel,Hilton,Debit Card,Investment,Transfer,Idea million major soon sport receive happy.
T-647,2024-12-22 14:40:08.881401,13.79,Dining,Local Cafe,Credit Card,Savings,Withdrawal,Also treatment much.
T-355,2024-12-22 14:40:08.881401,5.09,Healthcare,Pharmacy,Debit Card,Savings,Withdrawal,Investment explain watch concern marriage.
T-887,2024-12-22 14:40:08.881401,209.12,Shopping,Amazon,Credit Card,Savings,Transfer,So question spring go happen them follow.
T-1134,2024-12-22 14:40:08.881401,29.54,Subscriptions,Amazon Prime,Cash,Investment,Withdrawal,Happen green agency best security race collection think.
T-1091,2024-12-24 14:40:08.881401,171.7,Groceries,Whole Foods,Credit Card,Savings,Payment,Attention again station happy up list less.
T-377,2024-12-24 14:40:08.881401,31.07,Dining,Local Cafe,Debit Card,Investment,Transfer,Activity camera several open cover down.
T-221,2024-12-24 14:40:08.881401,181.74,Travel,Delta,Debit Card,Checking,Withdrawal,Provide carry tell woman opportunity sea figure.
T-810,2024-12-25 14:40:08.881401,18.34,Travel,Hilton,Mobile Payment,Investment,Transfer,Hand admit staff structure.
T-604,2024-12-25 14:40:08.881401,144.22,Utilities,Gas Utility,Debit Card,Checking,Withdrawal,Foot phone interview result.
T-678,2024-12-25 14:40:08.881401,2767.99,Shopping,Best Buy,Mobile Payment,Checking,Deposit,Feeling again war animal.
T-878,2024-12-25 14:40:08.881401,5.0,Entertainment,Netflix,Cash,Savings,Deposit,Suggest charge medical performance crime garden who.
T-466,2024-12-26 14:40:08.881401,70.06,Utilities,Gas Utility,Credit Card,Investment,Deposit,Site summer staff card must.
R-5,2024-12-26 14:40:08.881401,1300.1,Rent/Mortgage,Landlord,Bank Transfer,Checking,Payment,Monthly rent/mortgage payment
T-697,2024-12-27 14:40:08.881401,287.98,Shopping,Target,Bank Transfer,Checking,Withdrawal,Current language describe better forward group cause.
T-751,2024-12-28 14:40:08.881401,11.73,Dining,Chipotle,Mobile Payment,Investment,Payment,Around notice operation operation spring man road.
T-688,2024-12-28 14:40:08.881401,5.0,Groceries,Walmart,Cash,Savings,Transfer,Statement pull thank relate available south.
T-139,2024-12-28 14:40:08.881401,1784.68,Rent/Mortgage,Mortgage Bank,Cash,Investment,Transfer,Purpose shake full film eat order.
S-Amazon Prime-5,2024-12-28 14:40:08.881401,35.1,Subscriptions,Amazon Prime,Credit Card,Checking,Payment,Monthly subscription: Amazon Prime
T-652,2024-12-29 14:40:08.881401,30.88,Entertainment,Spotify,Bank Transfer,Checking,Withdrawal,Group hundred deep end land administration.
T-605,2024-12-29 14:40:08.881401,1159.51,Rent/Mortgage,Mortgage Bank,Credit Card,Investment,Deposit,Trade surface peace agent mouth at change leave.
T-552,2024-12-29 14:40:08.881401,162.15,Healthcare,Dental Care,Credit Card,Checking,Transfer,Toward work check program enter attorney your purpose.
T-224,2024-12-29 14:40:08.881401,27.18,Dining,Local Cafe,Cash,Investment,Withdrawal,Several southern last full government bag trade push.
T-578,2024-12-30 14:40:08.881401,10.49,Healthcare,Clinic,Credit Card,Savings,Withdrawal,Player agree goal common market avoid modern.
S-Netflix-5,2024-12-30 14:40:08.881401,8.0,Subscriptions,Netflix,Debit Card,Checking,Payment,Monthly subscription: Netflix
T-692,2024-12-30 14:40:08.881401,124.02,Healthcare,Clinic,Debit Card,Checking,Transfer,Doctor either score fill.
T-806,2024-12-30 14:40:08.881401,176.6,Shopping,Target,Mobile Payment,Savings,Deposit,Forget she certain believe authority growth tough.
T-857,2024-12-30 14:40:08.881401,6.85,Entertainment,Concert Hall,Cash,Savings,Withdrawal,Media open want affect do.
T-745,2024-12-30 14:40:08.881401,239.84,Shopping,Target,Bank Transfer,Investment,Deposit,Other plan ever certain.
T-936,2024-12-31 14:40:08.881401,175.76,Shopping,Amazon,Cash,Checking,Deposit,Employee about mind keep heart speak long same.
T-107,2024-12-31 14:40:08.881401,23.76,Dining,McDonald's,Debit Card,Checking,Deposit,Which suddenly should yourself gun house Mr.
T-527,2024-12-31 14:40:08.881401,128.69,Shopping,Mall Store,Bank Transfer,Savings,Transfer,Picture model push baby yes less five.
T-189,2024-12-31 14:40:08.881401,140.98,Shopping,Mall Store,Credit Card,Investment,Withdrawal,Two attack employee glass.
S-Gym Membership-5,2024-12-31 14:40:08.881401,23.26,Subscriptions,Gym Membership,Bank Transfer,Checking,Payment,Monthly subscription: Gym Membership
T-729,2024-12-31 14:40:08.881401,254.96,Travel,Airbnb,Cash,Savings,Deposit,End court hold difference station air understand sit.
T-655,2025-01-01 14:40:08.881401,5.0,Travel,Airbnb,Mobile Payment,Savings,Withdrawal,Still seven spend night.
T-786,2025-01-01 14:40:08.881401,126.75,Utilities,Electric Co,Bank Transfer,Checking,Deposit,Kind federal significant song camera cultural.
T-1057,2025-01-02 14:40:08.881401,23.33,Dining,McDonald's,Bank Transfer,Checking,Deposit,Share student talk clear particularly trial.
T-956,2025-01-02 14:40:08.881401,120.04,Other,Miscellaneous,Mobile Payment,Investment,Withdrawal,Clearly third will others others bank concern.
T-408,2025-01-02 14:40:08.881401,124.49,Shopping,Amazon,Mobile Payment,Checking,Payment,Week out thus likely partner rest vote.
T-157,2025-01-02 14:40:08.881401,110.11,Healthcare,Dental Care,Credit Card,Checking,Transfer,Standard drive real realize sea writer team.
T-1100,2025-01-02 14:40:08.881401,13.96,Subscriptions,Apple Music,Credit Card,Checking,Withdrawal,Theory middle inside position.
T-587,2025-01-02 14:40:08.881401,16.79,Entertainment,Netflix,Bank Transfer,Investment,Transfer,Service no prove data party little.
